StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q83,Q81,Q79,Q75,Q85,Q85_10_TEXT,Q82,Q77,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Q71_1,Q71_2,Q71_3,Q71_4,Q71_5,Q72,allocation,targetNPV,Q72 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"School of PsychologyFaculty of ScienceMicah B. GoldwaterChief InvestigatorRoom 336Brennan MacCallum Building A18The University of SydneyNSW 2006 AUSTRALIAEmail: micah.goldwater@sydney.edu.auWeb: http://www.sydney.edu.au/ PARTICIPANT CONSENT FORM By selecting each box below, I agree to take part in this research study. I give consent to my participation in the research project TITLE:    Learning from examples. In giving my consent I acknowledge that:",What is your Prolific ID?,What is your sex?,What is your age in years?,Do you speak a language other than English at home? - Selected Choice,Do you speak a language other than English at home? - Other (please specify) - Text,List of Countries,What is the highest level of school you have completed or the highest degree you have received?,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,How confident are you in each of your decisions? - PROJECT 1,How confident are you in each of your decisions? - PROJECT 2,How confident are you in each of your decisions? - PROJECT 3,How confident are you in each of your decisions? - PROJECT 4,How confident are you in each of your decisions? - PROJECT 5,Justify your decision,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 1,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 2,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 3,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 4,How will you allocate your budget across these five projects (percentages must sum to 100%)? - PROJECT 5,How confident are you in each of your decisions? - PROJECT 1,How confident are you in each of your decisions? - PROJECT 2,How confident are you in each of your decisions? - PROJECT 3,How confident are you in each of your decisions? - PROJECT 4,How confident are you in each of your decisions? - PROJECT 5,Justify your decision,allocation,targetNPV,Q72 - Topics
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID80_10_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID75""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID70_3""}","{""ImportId"":""QID70_4""}","{""ImportId"":""QID70_5""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID71_4""}","{""ImportId"":""QID71_5""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""allocation""}","{""ImportId"":""targetNPV""}","{""ImportId"":""QID72_TEXT_5c47964a71324f328aa3af18Topics""}"
2018-08-28 13:28:57,2018-08-28 13:29:53,Survey Preview,,100,55,True,2018-08-28 13:29:54,R_ukuzr4lH1A11L5D,,,,,-33.861206054688,151.19821166992,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-29 17:36:46,2018-08-29 17:38:27,IP Address,129.78.56.189,100,101,True,2018-08-29 17:38:28,R_pLYb3bCfuHqKjdv,,,,,-33.861206054688,151.19821166992,anonymous,EN,,,,,,,,,50,30,20,0,0,20,45,63,75,,TEST,30,40,10,20,0,95,98,97,97,97,TEST2,,,Unknown
2018-08-30 13:47:43,2018-08-30 13:48:41,IP Address,129.78.56.189,100,57,True,2018-08-30 13:48:42,R_pRY9caJmorKdr7H,,,,,-33.861206054688,151.19821166992,anonymous,EN,,,,,,,,,0,0,0,0,100,,,,,,,0,0,0,0,100,,,,,,,,,
2018-08-30 13:53:58,2018-08-30 13:54:37,IP Address,129.78.56.189,100,38,True,2018-08-30 13:54:38,R_stiQ8E3wjF3rJbb,,,,,-33.861206054688,151.19821166992,anonymous,EN,,,,,,,,,0,0,0,100,0,,,,,,,0,0,0,100,0,,,,,,,1,,
2018-08-30 15:36:41,2018-08-30 15:40:51,Survey Preview,,100,250,True,2018-08-30 15:40:52,R_2eQobKYiSaT2QQu,,,,,-33.861206054688,151.19821166992,preview,EN,,ij,Male,9999,Hebrew,,Afghanistan,Master's degree,0,0,0,0,100,70,69,69,69,69,test,0,0,0,100,0,2,0,0,0,82,test,2,,
2018-08-30 15:47:13,2018-08-30 15:53:31,IP Address,129.78.56.189,100,378,True,2018-08-30 15:53:31,R_3fercsw44ACK5uc,,,,,-33.861206054688,151.19821166992,anonymous,EN,,TEST,Male,1234,No,,Algeria,Less than high school degree,20,20,20,20,20,16,32,45,62,77,TEST,100,0,0,0,0,81,82,82,83,84,TEST,2,,
2018-09-03 17:38:17,2018-09-03 17:39:45,IP Address,129.78.56.189,100,87,True,2018-09-03 17:39:45,R_2SB8tQrnusKQwXF,,,,,-33.861206054688,151.19821166992,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",1234,Female,4123,No,,Albania,Bachelor's degree in college (4-year),100,0,0,0,0,96,97,98,99,97,kjhg,0,0,100,0,0,87,90,88,90,88,kjhg,1,,
2018-09-03 17:43:07,2018-09-03 17:44:40,IP Address,129.78.56.189,100,92,True,2018-09-03 17:44:40,R_32Ltej0uscrOfrz,,,,,-33.861206054688,151.19821166992,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",1234,Male,12,No,,Antigua and Barbuda,High school graduate (high school diploma or equivalent),20,20,20,20,20,45,47,57,60,61,test,25,34,22,19,0,64,67,75,74,75,kjhg,1,,
2018-09-03 17:53:52,2018-09-03 18:07:35,IP Address,86.152.203.51,100,822,True,2018-09-03 18:07:36,R_3scXQuZNiMfhodn,,,,,53.803604125977,-2.2922973632812,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5b2fc314975e260001e93c15,Male,22,No,,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree in college (4-year),30,20,0,40,10,82,82,55,82,82,I ordered them in terms of NPV.,7,25,8,40,20,76,40,61,72,68,"Project 1 has the possibility of being dangerous although it has high NPV.
Project 2 has quite high NPV so gave it 25%.
Project 3 has very low NPV.
Project 4 has highest NPV.
Project 5 has average NPV.",1,,
2018-09-03 18:07:19,2018-09-03 18:11:38,IP Address,82.57.33.218,100,258,True,2018-09-03 18:11:38,R_1Nrjs6LVpd1Owee,,,,,37.492202758789,15.070404052734,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",58dcd303cd64520001be6c5b,Male,38,Italian,,Italy,Bachelor's degree in college (4-year),2,2,61,5,30,82,79,82,82,81,i would like to give the budget to develop the most powerful laptop,21,22,23,27,7,71,62,73,77,67,i prefer to allocate the budget almost equally on all projects,2,,
2018-09-03 18:05:02,2018-09-03 18:14:09,IP Address,89.241.23.231,100,546,True,2018-09-03 18:14:09,R_3NR0ZImSpsdRxZl,,,,,54.869506835938,-2.9515991210938,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5ab8c3fb9534ba0001c6b60d,Male,39,No,,,Bachelor's degree in college (4-year),0,0,100,0,0,90,90,95,90,90,Project 3 is the most powerful machine with the most storage which is something I look at first when looking at a laptop. It also has the lowest NPV making it the most cost effective.,10,10,50,10,20,40,30,80,20,60,I decided to put the most money into the product which has the cheapest NPV to maximise profits. The product is also extremely popular at this time with more people wanting to be active and get healthier. It's a boom time for cycling and fitness in my opinion.,2,,
2018-09-03 18:12:05,2018-09-03 18:19:03,IP Address,155.245.54.56,100,417,True,2018-09-03 18:19:03,R_1K8TXl3PlTcBwkk,,,,,52.183303833008,0.98330688476562,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",55f014aab9401300137f4731,Female,28,No,,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD)",28,20,2,37,13,92,93,93,94,95,Each project was allocated budget as a proportion of how much NPV they will achieve,30,20,4,36,10,91,92,92,93,93,Each project was allocated the budget as a proportion of the NPV it will achieve,1,,
2018-09-03 18:09:42,2018-09-03 18:20:15,IP Address,90.195.0.238,100,632,True,2018-09-03 18:20:15,R_wOk46EW4dPcew6Z,,,,,55.830093383789,-4.2528991699219,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",5ad07b06a010190001b35393,Female,27,No,,United Kingdom of Great Britain and Northern Ireland,Some college but no degree,9,17,37,0,37,88,88,88,99,99,"1. The spec is okay.
2. The spec is good.
3. This has a great spec.
4. This is the lowest spec.
5. The spec is good.",9,7,32,23,29,82,65,79,49,52,"1) Alot of money appears to have already gone into this project.

2) The washing machine doesnt seem particularly high spec.

3) It would seem fair that more money was to go to a bike.

4) A great deal would be required for a computer.

5) A lot of research will be required to ensure the bag is long lasting, it seems this would cost a lot.",2,,
2018-09-03 18:08:16,2018-09-03 18:21:35,IP Address,73.152.204.41,100,798,True,2018-09-03 18:21:35,R_31XWuCG1LefFhbx,,,,,37.557693481445,-77.376899719238,anonymous,EN,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",58c09ec57bcb450001af48ea,Female,29,No,,United States of America,Some college but no degree,0,20,40,0,40,92,92,93,93,93,"Projects 1 and 4 are too low-end to invest in. Project 2 might be worth getting off the ground right now and making a profit in the short-term, and would provide an entry point to our brand. Projects 3 and 5 are higher-end products that will remain viable for a long time.",15,28,28,0,29,10,9,10,100,12,"Project 4 is just too low end. Many of the other products I am unsure how to evaluate as I don't know enough about their specifics. Project 1 doesn't sound terribly high-end; and people are very into natural/super-safe products nowadays which this doesn't exactly sound like. ",2,,
