StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q133,Q83,Q79,Q75,Q85,Q85_10_TEXT,Q82,Q77,project1_1,project1_2,project1_3,project1_6,project1_7,project1_4,project1_5,project1_8,project1_9,project1_10,project1_11,project2_1,project2_2,project2_3,project2_6,project2_7,project2_4,project2_5,project2_8,project2_9,project2_10,project2_11,project3_1,project3_2,project3_3,project3_6,project3_7,project3_4,project3_5,project3_8,project3_9,project3_10,project3_11,project4_1,project4_2,project4_3,project4_6,project4_7,project4_4,project4_5,project4_8,project4_9,project4_10,project4_11,project5_1,project5_2,project5_3,project5_6,project5_7,project5_4,project5_5,project5_8,project5_9,project5_10,project5_11,npvCond,alignCond
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Prolific ID?,"PARTICIPANT CONSENT FORM By selecting each box below, I agree to take part in this research study. I give consent to my participation in the research project 
















Project Name: Business
decision making

 In giving my consent I acknowledge that:",What is your sex?,What is your age in years?,Do you speak a language other than English at home? - Selected Choice,Do you speak a language other than English at home? - Other (please specify) - Text,List of Countries,How many years of experience do you have in investing?,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 1's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 2's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 3's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 4's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - more than 9%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 7% to 9%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 5% to 7%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 3% to 5%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - 1% to 3%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -1% to 1%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -3% to -1%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -5% to -3%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -7% to -5%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - -9% to -7%,Imagine that you have 100 points to assign to the following options for Project 5's rate of return on investment after one year. Assign points according to how likely you think each rate of return is. - less than -9%,npvCond,alignCond
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID76""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID80_10_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID127_2""}","{""ImportId"":""QID127_3""}","{""ImportId"":""QID127_6""}","{""ImportId"":""QID127_7""}","{""ImportId"":""QID127_4""}","{""ImportId"":""QID127_5""}","{""ImportId"":""QID127_8""}","{""ImportId"":""QID127_9""}","{""ImportId"":""QID127_10""}","{""ImportId"":""QID127_11""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID129_2""}","{""ImportId"":""QID129_3""}","{""ImportId"":""QID129_6""}","{""ImportId"":""QID129_7""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID129_5""}","{""ImportId"":""QID129_8""}","{""ImportId"":""QID129_9""}","{""ImportId"":""QID129_10""}","{""ImportId"":""QID129_11""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID130_2""}","{""ImportId"":""QID130_3""}","{""ImportId"":""QID130_6""}","{""ImportId"":""QID130_7""}","{""ImportId"":""QID130_4""}","{""ImportId"":""QID130_5""}","{""ImportId"":""QID130_8""}","{""ImportId"":""QID130_9""}","{""ImportId"":""QID130_10""}","{""ImportId"":""QID130_11""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID131_2""}","{""ImportId"":""QID131_3""}","{""ImportId"":""QID131_6""}","{""ImportId"":""QID131_7""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID131_8""}","{""ImportId"":""QID131_9""}","{""ImportId"":""QID131_10""}","{""ImportId"":""QID131_11""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID132_2""}","{""ImportId"":""QID132_3""}","{""ImportId"":""QID132_6""}","{""ImportId"":""QID132_7""}","{""ImportId"":""QID132_4""}","{""ImportId"":""QID132_5""}","{""ImportId"":""QID132_8""}","{""ImportId"":""QID132_9""}","{""ImportId"":""QID132_10""}","{""ImportId"":""QID132_11""}","{""ImportId"":""npvCond""}","{""ImportId"":""alignCond""}"
2019-03-04 12:41:59,2019-03-04 12:42:54,Survey Preview,,100,55,True,2019-03-04 12:42:54,R_2wuExtYRcLEP9jP,,,,,-33.8612060546875,151.198211669921875,preview,EN,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-03-04 12:48:31,2019-03-04 12:52:33,IP Address,174.1.33.237,100,241,True,2019-03-04 12:52:34,R_2v1ycKirMbTdVBR,,,,,49.3166961669921875,-122.7384033203125,anonymous,EN,5c7b82a4461e90001c79ff98,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Female,24,Chinese,,Canada,1,9,16,33,42,0,0,0,0,0,0,0,21,29,30,20,0,0,0,0,0,0,0,42,32,18,8,0,0,0,0,0,0,0,6,24,33,34,3,0,0,0,0,0,0,23,24,14,17,22,0,0,0,0,0,0,2,2
2019-03-04 12:49:00,2019-03-04 12:53:14,IP Address,98.196.98.221,100,253,True,2019-03-04 12:53:15,R_bDi6tvHFH6yjh4t,,,,,29.7422027587890625,-95.49030303955078125,anonymous,EN,5c7c509f47f72600010a8ea3,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Female,27,No,,United States of America,5,0,0,21,52,27,0,0,0,0,0,0,0,0,44,15,15,26,0,0,0,0,0,0,53,0,28,10,9,0,0,0,0,0,0,0,0,19,31,35,15,0,0,0,0,0,0,0,35,20,12,13,20,0,0,0,1,2
2019-03-04 12:49:17,2019-03-04 12:53:40,IP Address,73.105.16.13,100,262,True,2019-03-04 12:53:40,R_338DeYYotdg05vq,,,,,30.1204071044921875,-81.41280364990234375,anonymous,EN,5c7c6206f1bfcf001554f678,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Female,33,No,,United States of America,1,13,29,29,29,0,0,0,0,0,0,0,50,44,6,0,0,0,0,0,0,0,0,5,15,6,56,18,0,0,0,0,0,0,17,30,30,23,0,0,0,0,0,0,0,4,10,10,22,54,0,0,0,0,0,0,1,1
2019-03-04 12:49:20,2019-03-04 12:54:17,IP Address,24.66.100.98,100,296,True,2019-03-04 12:54:17,R_3m30XxqkUni8ctq,,,,,51.0493927001953125,-113.95639801025390625,anonymous,EN,5ba9296f8dd1580001dda68f,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Male,34,Other (please specify),French,Canada,5,40,60,0,0,0,0,0,0,0,0,0,41,59,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,2,2
2019-03-04 12:50:12,2019-03-04 12:54:26,IP Address,134.228.12.158,100,253,True,2019-03-04 12:54:26,R_2bUb2lat52tkZul,,,,,41.649200439453125,-83.67060089111328125,anonymous,EN,5c7b348c371d1d0001bcb9d9,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Male,25,No,,United States of America,1,0,0,0,60,40,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,1,1
2019-03-04 12:50:09,2019-03-04 12:55:04,IP Address,65.25.233.112,100,295,True,2019-03-04 12:55:05,R_1n8e0P7AiSFEcSc,,,,,44.2433013916015625,-88.3563995361328125,anonymous,EN,5ba849b3a2a1ae0001f08d2d,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Male,26,No,,United States of America,3,60,20,12,8,0,0,0,0,0,0,0,50,30,10,4,6,0,0,0,0,0,0,10,20,40,18,7,5,0,0,0,0,0,75,8,12,5,0,0,0,0,0,0,0,28,17,13,26,16,0,0,0,0,0,0,2,2
2019-03-04 12:50:40,2019-03-04 12:56:59,IP Address,93.243.37.102,100,378,True,2019-03-04 12:57:01,R_3ht4kdUr45lpS27,,,,,52.21600341796875,13.4490966796875,anonymous,EN,5c7c45db137b9900166d873f,"The procedures required for the project and the time involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.,I have read the Participant Information Statement and have been given the opportunity to discuss via email the information and my involvement in the project with the researcher/s.,I understand that being in this study is completely voluntary – I am not under any obligation to consent.,I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be published however no information about me will be used in any way that is identifiable.,I understand that I can withdraw from the study at any time, without affecting my relationship with the researcher(s) or the University of Sydney now or in the future.",Male,22,Other (please specify),German,Germany,0,0,60,20,20,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,60,20,20,0,0,0,0,0,25,40,35,0,0,0,0,0,0,0,0,0,0,0,25,40,35,0,0,0,0,2,1
