session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6045dda5f8417772b0b59c96,5e69794aad1e74220f93329a,AWAITING REVIEW,2021-03-08 08:17:49.348000,2021-03-08 08:43:22.292000,1532.944,46,108,0,100,,8256C4AC,United States,United States,Other,English,United States,Male,No
6045e024bacd9a72f9734d60,5916bba1c40353000150c46c,AWAITING REVIEW,2021-03-08 08:28:23.524000,2021-03-08 08:51:09.089000,1365.565,50,418,2,100,,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
6045e0358151427395863fda,604544a8c7cb5466fe745327,AWAITING REVIEW,2021-03-08 08:28:37.197000,2021-03-08 09:11:32.401000,2575.204,31,8,0,100,,8256C4AC,United States,United States,Full-Time,,United States,Male,No
6045e14dd49d6a729d89b6c7,5a0d1f2cfe645f0001e9f7ca,AWAITING REVIEW,2021-03-08 08:33:21.407000,2021-03-08 08:51:35.064000,1093.657,31,154,0,100,,8256C4AC,United States,United States,Other,English,United States,Male,No
6045e2201e712a73b4c64c68,5dcfb0ffcc19200baabf0e8a,AWAITING REVIEW,2021-03-08 08:36:51.549000,2021-03-08 08:50:36.033000,824.484,54,677,4,99,,NOCODE,United States,United Kingdom,Full-Time,English,United States,Female,No
6045ea321d1ba774c1307dd0,6040a71d9a4ec32caf027015,AWAITING REVIEW,2021-03-08 09:11:25.883000,2021-03-08 09:41:17.727000,1791.844,34,2,0,100,,8256C4AC,,,Full-Time,,United States,Female,No
6045eb81ca60cc737e94c29f,5f3e517af3e9a10388c60c2e,AWAITING REVIEW,2021-03-08 09:16:55.962000,2021-03-08 09:33:41.144000,1005.182,34,120,1,100,,8256C4AC,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
6045ebdfaefb707456f59f7d,5f63a807b6a0680c366ffb46,AWAITING REVIEW,2021-03-08 09:18:23.062000,2021-03-08 09:25:10.297000,407.235,40,372,7,96,,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No
6045ec715e32fd731ea1ee2a,5f3d6ca05772161108bc0e2e,AWAITING REVIEW,2021-03-08 09:20:51.641000,2021-03-08 09:28:04.076000,432.435,33,207,0,100,,8256C4AC,United States,United Kingdom,Other,DATA EXPIRED,United States,Male,No
6045edfd09faa67483b6346c,604227b478f6f305b0c33232,AWAITING REVIEW,2021-03-08 09:27:33.434000,2021-03-08 09:50:02.778000,1349.344,32,5,0,100,,8256C4AC,,,,,United States,Male,
6045f0ba78f6f3751914a22c,5e88f68b9d42f104bde5f618,AWAITING REVIEW,2021-03-08 09:39:11.594000,2021-03-08 10:02:27.640000,1396.046,35,332,1,100,,8256C4AC,United States,France,Unemployed (and job seeking),English,United States,Female,No
6045f357580a70757bb14085,5ef83fd0b0ec20582318c7b9,AWAITING REVIEW,2021-03-08 09:50:21.161000,2021-03-08 10:06:55.213000,994.052,43,287,1,100,,8256C4AC,United States,United States,Unemployed (and job seeking),English,United States,Female,No
6045f69e2e1a15759f7f4189,60085e3be4ff884419a3c023,AWAITING REVIEW,2021-03-08 10:04:14.943000,2021-03-08 10:42:26.828000,2291.885,50,120,0,100,,8256C4AC,United States,United States,Part-Time,DATA EXPIRED,United States,Female,No
6045fd28d5b8e9000ad7d4a2,5f930b70b1d0300846750449,AWAITING REVIEW,2021-03-08 10:32:12.733000,2021-03-08 10:53:00.640000,1247.907,30,271,2,99,,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No
6045dc73cbb07a7308fca3ce,5c77ebd4eaf40f0001c8ee7f,RETURNED,2021-03-08 08:15:54.165000,,59092.354326,39,312,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045dda8c7cb5473cf828408,6036b9dfb26a57e97cec665f,RETURNED,2021-03-08 08:18:01.514000,,58965.005425,33,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045ebef4bbbc67384465917,5f69f9dbe18c880116b0f178,RETURNED,2021-03-08 09:29:00.113000,,54706.406472,32,189,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045ec21389351729cb0e35b,5f48bc9bcf3436245e79a2c0,RETURNED,2021-03-08 09:19:32.085000,,55274.43454,42,346,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045ee90bb606f73ad726c7c,5f74a31c0b40db0795ae4d8b,RETURNED,2021-03-08 09:29:58.352000,,54648.167588,30,203,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045f299b5547f7485e6bc36,583ec287ad2f4300014b355a,RETURNED,2021-03-08 09:47:08.262000,,53618.257629,64,306,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045f2bec6d075754d582568,604233ee1fdf6305a289277a,RETURNED,2021-03-08 09:48:28.914000,2021-03-08 10:23:48.669000,2119.755,36,8,0,100,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045f51c78f6f37611c49bfe,5e2d9d80b71dd6388ade80bc,RETURNED,2021-03-08 09:57:51.883000,,52974.636714,32,354,5,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045fbf0c5672f0009d91717,5dcaca406f3f1679d7a65c67,RETURNED,2021-03-08 10:29:09.185000,,51097.334766,40,772,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6045e2f4ca8352729ad8e69d,5bd77196beca730001ced094,TIMED-OUT,2021-03-08 08:40:36.171000,,57610.348806,42,172,1,100,,,United States,United States,Full-Time,English,United States,Female,No
6045e363a410a67305762265,5ca1b03f2461ab0017c413e7,TIMED-OUT,2021-03-08 08:45:55.437000,,57291.107385,52,456,1,100,,,United States,United States,Full-Time,English,United States,Female,No
6045e7741d1ba774c1307dc0,6043ec017d695b4330583470,TIMED-OUT,2021-03-08 09:00:19.206000,,56427.3623,34,1,0,100,,,,,Full-Time,,United States,Male,No
