session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5fd80ea56c285813502be2ed,5f64bdfa92434501c26dfca5,APPROVED,2020-12-15 01:17:39.951000,2020-12-15 01:30:50.736000,790.785,47,82,0,100,2020-12-15 06:12:15.999000,8256C4AC,United States,Chile,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
5fd811d38b7f1913a6b681d4,5c6dc6e309c2210001d5f93b,APPROVED,2020-12-15 01:31:45.529000,2020-12-15 01:39:37.222000,471.693,36,389,1,100,2020-12-15 06:12:19.618000,8256C4AC,United States,United States,Part-Time,English,United States,Female,No
5fd81407865b6113d6fdf2b6,5f8e13525d01171d362af72c,RETURNED,2020-12-15 01:40:26.569000,,2326032.486055,47,90,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd81412f0fc1a132667381a,5dd44b93c128844414ef8515,APPROVED,2020-12-15 01:41:40.915000,2020-12-15 02:19:08.603000,2247.688,64,207,0,100,2020-12-15 06:12:23.715000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,United States,Male,No
5fd8144fefd8de142270631c,5d22a0930a59e300199957e1,APPROVED,2020-12-15 01:41:38.892000,2020-12-15 01:48:15.942000,397.05,37,272,1,100,2020-12-15 06:12:27.199000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5fd815d23f61c413a3e6fa75,5be0a19926a6fc0001b951c3,RETURNED,2020-12-15 01:48:05.775000,,2325573.660949,42,122,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd815f6100c9314c7aa09ae,5e6548edb47a552cabff107a,APPROVED,2020-12-15 01:48:38.055000,2020-12-15 02:03:49.125000,911.07,36,122,1,100,2020-12-15 06:12:30.650000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5fd81679f6c81214ab928ae4,5bee35907319da0001aa76e6,RETURNED,2020-12-15 01:50:55.460000,,2325404.211307,42,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd816a7d75bb91518dcec85,5f03579ef3d5b3546f323d47,APPROVED,2020-12-15 01:51:40.828000,2020-12-15 02:10:47.045000,1146.217,70,237,2,100,2020-12-15 06:12:33.851000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5fd8177eefb18a1423eb2d93,5e7d2ef2e1b0ed2b39cce2b6,APPROVED,2020-12-15 01:55:13.596000,2020-12-15 02:06:59.176000,705.58,49,177,0,100,2020-12-15 06:12:37.300000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5fd81781879fbc13a09ef20d,5fd27d2cdf4b870008fc6d49,RETURNED,2020-12-15 01:55:20.419000,,2325139.728678,35,8,2,86,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd8181c6f8f96144401c8a1,5d97aebebc904e00190487b2,TIMED-OUT,2020-12-15 01:57:51.668000,,2324988.47981,35,112,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Female,No
5fd8181d5fbdad142c6db671,5f4fdf4f44ceb0115f0be9ba,APPROVED,2020-12-15 01:57:56.658000,2020-12-15 02:10:19.947000,743.289,46,103,1,100,2020-12-15 06:12:40.278000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
