view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":563.7957289999997}]",564.636130000001,welcome,instructions,0,570,0.0-0.0-0.0,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:37
NA,336.0834080000004,id,survey-html-form,1,919,0.0-0.0-1.0-0.0,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""prolific"":""test12341681918414474395""}",NA,NA,NA,NA,02/09/2020 09:45:37
NA,451.4329600000001,contact,survey-html-form,2,1372,0.0-0.0-1.0-1.0,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12348829763716449577""}",NA,NA,NA,NA,02/09/2020 09:45:37
NA,945.9620710000002,demographics,survey-html-form,3,2324,0.0-0.0-1.0-2.0,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""sex"":""male"",""age"":""30"",""language"":""No"",""language_other"":"""",""business_edu"":""14"",""business_exp"":""32"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:45:37
"[{""page_index"":0,""viewing_time"":64.56373099999973},{""page_index"":1,""viewing_time"":76.3107849999983},{""page_index"":2,""viewing_time"":95.48723300000029}]",236.5339639999993,instructions,instructions,4,2561,0.0-0.0-2.0-0.0-0.0,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:45:37
NA,253.08482300000014,project_choice,survey-multi-choice,5,2818,0.0-0.0-2.0-8.0-0.0-0.0-0.0,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""oil-well_onshore-Omsk-Siberia_125_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:37
NA,271.1353899999999,project_choice,survey-multi-choice,6,3092,0.0-0.0-2.0-8.0-0.0-0.0-0.1,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""microchip_medical-imaging-machine_125_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:37
NA,234.5433549999998,project_choice,survey-multi-choice,7,3329,0.0-0.0-2.0-8.0-0.0-0.0-0.2,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""record-deal_electronic_190_240_0.35"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:37
NA,271.8053499999992,project_choice,survey-multi-choice,8,3602,0.0-0.0-2.0-8.0-0.0-0.0-0.3,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""shipping-logistics_flat-screen-TV_185_240_0.4"":""No""}",NA,[0],NA,NA,02/09/2020 09:45:37
NA,265.19479000000047,project_choice,survey-multi-choice,9,3870,0.0-0.0-2.0-8.0-0.0-0.0-0.4,1srnunk9yh5ko7v,aggregation,experiment4,prolific,low,absent,naive,separate,7,21,NA,NA,NA,"{""restaurant-chain_seafood_155_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:45:37
