view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":61.24123200000042}]",61.52888900000164,welcome,instructions,0,65,0.0-0.0-0.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:46:10
NA,489.4303200000038,id,survey-html-form,1,556,0.0-0.0-1.0-0.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""prolific"":""test12345774543656279266""}",NA,NA,NA,NA,02/09/2020 09:46:10
NA,551.9544209999978,contact,survey-html-form,2,1110,0.0-0.0-1.0-1.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12347765181332288579""}",NA,NA,NA,NA,02/09/2020 09:46:10
NA,1122.6724819999986,demographics,survey-html-form,3,2247,0.0-0.0-1.0-2.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""sex"":""male"",""age"":""19"",""language"":""No"",""language_other"":"""",""business_edu"":""37"",""business_exp"":""25"",""current"":""yes""}",yes,NA,NA,NA,02/09/2020 09:46:10
NA,1741.1256749999993,business_information,survey-html-form,4,3991,0.0-0.0-1.0-3.0-0.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""company_name"":""test12347178754379585765"",""sector"":""Social Sector, Non-profit, Charity"",""sector_other"":"""",""employees"":""2018198"",""revenue"":""347403"",""role_company"":""Corporate President"",""role_company_other"":"""",""role_allocation"":""Decide on allocations for the company"",""role_allocation_other"":"""",""budget"":""567233""}",NA,NA,NA,NA,02/09/2020 09:46:10
"[{""page_index"":0,""viewing_time"":67.33575500000188},{""page_index"":1,""viewing_time"":62.719862999997986},{""page_index"":2,""viewing_time"":61.0930470000003}]",191.32235400000036,instructions,instructions,5,4183,0.0-0.0-2.0-0.0-0.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:46:10
NA,301.80765800000154,project_choice,survey-multi-choice,6,4487,0.0-0.0-2.0-10.0-0.0-0.0-0.0,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""oil-well_onshore-Houston-US_125_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:10
NA,235.48697799999718,project_choice,survey-multi-choice,7,4725,0.0-0.0-2.0-10.0-0.0-0.0-0.1,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""microchip_personal-computer_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:10
NA,346.5371230000046,project_choice,survey-multi-choice,8,5073,0.0-0.0-2.0-10.0-0.0-0.0-0.2,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""record-deal_hip-hop_190_240_0.35"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:46:10
NA,493.3996709999992,project_choice,survey-multi-choice,9,5570,0.0-0.0-2.0-10.0-0.0-0.0-0.3,ckqqzvq5olqzbfh,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""shipping-logistics_motorbike_185_240_0.4"":""No""}",NA,[0],NA,NA,02/09/2020 09:46:10
