view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":52.230366000003414}]",52.598427999996034,welcome,instructions,0,54,0.0-0.0-0.0,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:47:10
NA,351.5575539999958,id,survey-html-form,1,408,0.0-0.0-1.0-0.0,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""prolific"":""test12346591288325661237""}",NA,NA,NA,NA,02/09/2020 09:47:10
NA,356.8553759999986,contact,survey-html-form,2,767,0.0-0.0-1.0-1.0,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""contact"":""no"",""address"":""test12341189962453683714""}",NA,NA,NA,NA,02/09/2020 09:47:10
NA,1152.1597039999988,demographics,survey-html-form,3,1925,0.0-0.0-1.0-2.0,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""sex"":""male"",""age"":""84"",""language"":""Vietnamese"",""language_other"":"""",""business_edu"":""91"",""business_exp"":""22"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:47:10
"[{""page_index"":0,""viewing_time"":69.42721699999765},{""page_index"":1,""viewing_time"":80.05704300001071},{""page_index"":2,""viewing_time"":73.8605889999917}]",223.54139300000497,instructions,instructions,4,2149,0.0-0.0-2.0-1.0-0.0,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:47:10
NA,272.9251189999927,project_choice,survey-multi-choice,5,2430,0.0-0.0-2.0-18.0-0.0-0.0-0.0,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""oil-well_onshore-Omsk-Siberia_125_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,238.1560670000058,project_choice,survey-multi-choice,6,2671,0.0-0.0-2.0-18.0-0.0-0.0-0.1,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""microchip_medical-imaging-machine_125_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,293.12763400000085,project_choice,survey-multi-choice,7,2966,0.0-0.0-2.0-18.0-0.0-0.0-0.2,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""record-deal_electronic_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,254.56691499999806,project_choice,survey-multi-choice,8,3223,0.0-0.0-2.0-18.0-0.0-0.0-0.3,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""shipping-logistics_flat-screen-TV_185_240_0.4"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,261.10309399999187,project_choice,survey-multi-choice,9,3486,0.0-0.0-2.0-18.0-0.0-0.0-0.4,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""restaurant-chain_seafood_155_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,229.38399800000298,project_choice,survey-multi-choice,10,3717,0.0-0.0-2.0-18.0-0.0-0.0-0.5,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""national-newspaper_current-affairs_175_240_0.3"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,260.4367389999993,project_choice,survey-multi-choice,11,3981,0.0-0.0-2.0-18.0-0.0-0.0-0.6,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""pharmaceutical_Chronic-lower-respiratory-disease_135_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,271.2283949999937,project_choice,survey-multi-choice,12,4254,0.0-0.0-2.0-18.0-0.0-0.0-0.7,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""railway_Krasnodar-Krai-Russia_120_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,228.75797100000727,project_choice,survey-multi-choice,13,4485,0.0-0.0-2.0-18.0-0.0-0.0-0.8,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""GMO_sunflower-oil-with-healthier-fatty-acid-composition_175_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,259.6407719999979,project_choice,survey-multi-choice,14,4746,0.0-0.0-2.0-18.0-0.0-0.0-0.9,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""high-rise-construction_50-hybrid_100_240_0.75"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,227.28979299999628,project_choice,survey-multi-choice,15,4977,0.0-0.0-2.0-18.0-0.0-0.0-0.10,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""oil-well_onshore-Dhahran-Saudi-Arabia_135_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,288.3235350000032,project_choice,survey-multi-choice,16,5267,0.0-0.0-2.0-18.0-0.0-0.0-0.11,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""microchip_DSLR-camera_150_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,234.30202999999437,project_choice,survey-multi-choice,17,5504,0.0-0.0-2.0-18.0-0.0-0.0-0.12,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""record-deal_indie-rock_115_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,227.54047600000195,project_choice,survey-multi-choice,18,5733,0.0-0.0-2.0-18.0-0.0-0.0-0.13,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""shipping-logistics_power-tools_180_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
NA,264.34025500000735,project_choice,survey-multi-choice,19,5999,0.0-0.0-2.0-18.0-0.0-0.0-0.14,dgskbhqchye4u32,aggregation,experiment4,prolific,low,absent,aware,separate,7,21,NA,NA,NA,"{""restaurant-chain_chinese_145_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:10
