view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":43.18813300000102}]",43.43173899999897,welcome,instructions,0,45,0.0-0.0-0.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:47:31
NA,177.3717029999915,id,survey-html-form,1,224,0.0-0.0-1.0-0.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""prolific"":""test12347363785472516914""}",NA,NA,NA,NA,02/09/2020 09:47:31
NA,468.2425350000017,contact,survey-html-form,2,693,0.0-0.0-1.0-1.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12348955969151726823""}",NA,NA,NA,NA,02/09/2020 09:47:31
NA,1866.364912999998,demographics,survey-html-form,3,2562,0.0-0.0-1.0-2.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""sex"":""male"",""age"":""86"",""language"":""No"",""language_other"":"""",""business_edu"":""89"",""business_exp"":""67"",""current"":""yes""}",yes,NA,NA,NA,02/09/2020 09:47:31
NA,1877.222470000007,business_information,survey-html-form,4,4444,0.0-0.0-1.0-3.0-0.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""company_name"":""test12345782543153672265"",""sector"":""Insurance - Pension, Financial, Health \tLeisure - Sports, Parks, Theater, Gambling"",""sector_other"":"""",""employees"":""1305409"",""revenue"":""326741"",""role_company"":""Chairman"",""role_company_other"":"""",""role_allocation"":""Provide information and analysis for the decision-makers at line of business level"",""role_allocation_other"":"""",""budget"":""421319""}",NA,NA,NA,NA,02/09/2020 09:47:31
"[{""page_index"":0,""viewing_time"":68.67458799999349},{""page_index"":1,""viewing_time"":65.26735600000666},{""page_index"":2,""viewing_time"":64.27503899999465}]",198.43175200000496,instructions,instructions,5,4643,0.0-0.0-2.0-0.0-0.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:47:31
NA,303.0319079999945,project_choice,survey-multi-choice,6,4950,0.0-0.0-2.0-5.0-0.0-0.0-0.0,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""oil-well_offshore-Calgary-Canada_125_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:31
NA,340.270489000005,project_choice,survey-multi-choice,7,5293,0.0-0.0-2.0-5.0-0.0-0.0-0.1,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""microchip_aerospace_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:31
NA,235.54281599999194,project_choice,survey-multi-choice,8,5531,0.0-0.0-2.0-5.0-0.0-0.0-0.2,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""record-deal_folk_190_240_0.35"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:31
NA,241.3259769999877,project_choice,survey-multi-choice,9,5774,0.0-0.0-2.0-5.0-0.0-0.0-0.3,dv07fy1o4ajng5k,aggregation,experiment4,prolific,low,absent,naive,separate,4,21,NA,NA,NA,"{""shipping-logistics_steel_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:31
