view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":51.310764000021436}]",51.791417000004,welcome,instructions,0,54,0.0-0.0-0.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:47:59
NA,277.57187399998884,id,survey-html-form,1,333,0.0-0.0-1.0-0.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""prolific"":""test12344359272882272836""}",NA,NA,NA,NA,02/09/2020 09:47:59
NA,345.2140409999913,contact,survey-html-form,2,680,0.0-0.0-1.0-1.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12344234154648398474""}",NA,NA,NA,NA,02/09/2020 09:47:59
NA,1167.5997159999838,demographics,survey-html-form,3,1849,0.0-0.0-1.0-2.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""sex"":""male"",""age"":""43"",""language"":""Chinese"",""language_other"":"""",""business_edu"":""28"",""business_exp"":""11"",""current"":""yes""}",yes,NA,NA,NA,02/09/2020 09:47:59
NA,1504.412204000005,business_information,survey-html-form,4,3356,0.0-0.0-1.0-3.0-0.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""company_name"":""test12349352957916299819"",""sector"":""Paper, Packaging, Forestry"",""sector_other"":"""",""employees"":""822172"",""revenue"":""500328"",""role_company"":""Chairman"",""role_company_other"":"""",""role_allocation"":""Provide information and analysis for the decision-makers at the company"",""role_allocation_other"":"""",""budget"":""432264""}",NA,NA,NA,NA,02/09/2020 09:47:59
"[{""page_index"":0,""viewing_time"":75.69513600000755},{""page_index"":1,""viewing_time"":60.53393799999185},{""page_index"":2,""viewing_time"":65.58129399999734}]",201.98758300000463,instructions,instructions,5,3558,0.0-0.0-2.0-0.0-0.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:47:59
NA,358.822540999995,project_choice,survey-multi-choice,6,3920,0.0-0.0-2.0-4.0-0.0-0.0-0.0,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""oil-well_offshore-Kuala-Lumpur-Malaysia_125_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,271.5240510000003,project_choice,survey-multi-choice,7,4195,0.0-0.0-2.0-4.0-0.0-0.0-0.1,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""microchip_smartphone_125_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,245.18759400001545,project_choice,survey-multi-choice,8,4442,0.0-0.0-2.0-4.0-0.0-0.0-0.2,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""record-deal_classical_190_240_0.35"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,241.3400500000189,project_choice,survey-multi-choice,9,4686,0.0-0.0-2.0-4.0-0.0-0.0-0.3,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""shipping-logistics_wheat_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,325.29257199999483,project_choice,survey-multi-choice,10,5013,0.0-0.0-2.0-4.0-0.0-0.0-0.4,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""restaurant-chain_burger_155_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,230.4902089999814,project_choice,survey-multi-choice,11,5246,0.0-0.0-2.0-4.0-0.0-0.0-0.5,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""national-newspaper_politics_175_240_0.3"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,258.2142079999976,project_choice,survey-multi-choice,12,5506,0.0-0.0-2.0-4.0-0.0-0.0-0.6,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""pharmaceutical_anaemia_135_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,247.93816499999411,project_choice,survey-multi-choice,13,5757,0.0-0.0-2.0-4.0-0.0-0.0-0.7,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""railway_Uttar-Pradesh-India_120_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,299.57264600000144,project_choice,survey-multi-choice,14,6059,0.0-0.0-2.0-4.0-0.0-0.0-0.8,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""GMO_tomato-crop-that-induces-a-Hepatitis-B-immune-response_175_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,309.55198300000575,project_choice,survey-multi-choice,15,6370,0.0-0.0-2.0-4.0-0.0-0.0-0.9,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""high-rise-construction_15-flat-plate-and-flat-slab_100_240_0.75"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:47:59
NA,247.11112200000662,project_choice,survey-multi-choice,16,6619,0.0-0.0-2.0-4.0-0.0-0.0-0.10,l17l6mvwz1b2840,aggregation,experiment4,prolific,low,absent,naive,separate,3,21,NA,NA,NA,"{""oil-well_onshore-Stavanger-Norway_135_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:47:59
