view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":43.90947199999573}]",44.25914899999839,welcome,instructions,0,46,0.0-0.0-0.0,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:07
NA,193.0348699999911,id,survey-html-form,1,240,0.0-0.0-1.0-0.0,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""prolific"":""test12349813953336598183""}",NA,NA,NA,NA,02/09/2020 09:48:07
NA,452.28842099999156,contact,survey-html-form,2,694,0.0-0.0-1.0-1.0,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""contact"":""no"",""address"":""test12344343567691751798""}",NA,NA,NA,NA,02/09/2020 09:48:07
NA,1236.409223999999,demographics,survey-html-form,3,1932,0.0-0.0-1.0-2.0,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""sex"":""male"",""age"":""86"",""language"":""Japanese"",""language_other"":"""",""business_edu"":""85"",""business_exp"":""54"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:48:07
"[{""page_index"":0,""viewing_time"":62.99915100001385},{""page_index"":1,""viewing_time"":62.968213999994305},{""page_index"":2,""viewing_time"":65.33139499998697}]",191.48910199999136,instructions,instructions,4,2124,0.0-0.0-2.0-0.0-0.0,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:07
NA,255.40499900000668,project_choice,survey-multi-choice,5,2382,0.0-0.0-2.0-10.0-0.0-0.0-0.0,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""oil-well_onshore-Houston-US_125_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,250.7395290000145,project_choice,survey-multi-choice,6,2635,0.0-0.0-2.0-10.0-0.0-0.0-0.1,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""microchip_personal-computer_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,300.7269599999913,project_choice,survey-multi-choice,7,2939,0.0-0.0-2.0-10.0-0.0-0.0-0.2,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""record-deal_hip-hop_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,341.75945000001184,project_choice,survey-multi-choice,8,3284,0.0-0.0-2.0-10.0-0.0-0.0-0.3,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""shipping-logistics_motorbike_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,261.6397349999884,project_choice,survey-multi-choice,9,3547,0.0-0.0-2.0-10.0-0.0-0.0-0.4,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""restaurant-chain_italian_155_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,276.5350680000156,project_choice,survey-multi-choice,10,3826,0.0-0.0-2.0-10.0-0.0-0.0-0.5,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""national-newspaper_electronics_175_240_0.3"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,237.98806099998137,project_choice,survey-multi-choice,11,4067,0.0-0.0-2.0-10.0-0.0-0.0-0.6,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""pharmaceutical_leukaemia_135_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,234.30292200001168,project_choice,survey-multi-choice,12,4304,0.0-0.0-2.0-10.0-0.0-0.0-0.7,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""railway_Guangdong-China_120_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,318.7007319999966,project_choice,survey-multi-choice,13,4624,0.0-0.0-2.0-10.0-0.0-0.0-0.8,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""GMO_potato-crop-enriched-with-Vitamin-A_175_240_0.45"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
NA,253.02359700000943,project_choice,survey-multi-choice,14,4879,0.0-0.0-2.0-10.0-0.0-0.0-0.9,564hf6mh55tvwhc,aggregation,experiment4,prolific,low,absent,naive,separate,9,21,NA,NA,NA,"{""high-rise-construction_10-coupled-wall_100_240_0.75"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:07
