view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":49.975754999991295}]",50.260090999984186,welcome,instructions,0,51,0.0-0.0-0.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:37
NA,404.88773199999173,id,survey-html-form,1,458,0.0-0.0-1.0-0.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""prolific"":""test12346881167475523385""}",NA,NA,NA,NA,02/09/2020 09:48:37
NA,658.3397459999958,contact,survey-html-form,2,1117,0.0-0.0-1.0-1.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12347153186957933843""}",NA,NA,NA,NA,02/09/2020 09:48:37
NA,942.9251100000042,demographics,survey-html-form,3,2063,0.0-0.0-1.0-2.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""sex"":""male"",""age"":""85"",""language"":""Italian"",""language_other"":"""",""business_edu"":""43"",""business_exp"":""55"",""current"":""yes""}",yes,NA,NA,NA,02/09/2020 09:48:37
NA,1500.3809659999947,business_information,survey-html-form,4,3566,0.0-0.0-1.0-3.0-0.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""company_name"":""test12342147635948588625"",""sector"":""Automotive"",""sector_other"":"""",""employees"":""696619"",""revenue"":""442259"",""role_company"":""Managing Director"",""role_company_other"":"""",""role_allocation"":""Decide on allocations for the company"",""role_allocation_other"":"""",""budget"":""393741""}",NA,NA,NA,NA,02/09/2020 09:48:37
"[{""page_index"":0,""viewing_time"":62.28088299999945},{""page_index"":1,""viewing_time"":97.96982000000298},{""page_index"":2,""viewing_time"":74.78551099998776}]",235.21176399998467,instructions,instructions,5,3801,0.0-0.0-2.0-0.0-0.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:37
NA,401.8805869999933,project_choice,survey-multi-choice,6,4206,0.0-0.0-2.0-3.0-0.0-0.0-0.0,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""oil-well_offshore-Abu-Dhabi-UAE_125_240_0.55"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:37
NA,230.8145350000068,project_choice,survey-multi-choice,7,4439,0.0-0.0-2.0-3.0-0.0-0.0-0.1,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""microchip_car-controls_125_240_0.6"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:37
NA,235.7072589999807,project_choice,survey-multi-choice,8,4677,0.0-0.0-2.0-3.0-0.0-0.0-0.2,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""record-deal_soul_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:37
NA,270.2473550000095,project_choice,survey-multi-choice,9,4949,0.0-0.0-2.0-3.0-0.0-0.0-0.3,qoburgc9s65rzlz,aggregation,experiment4,prolific,low,absent,naive,separate,2,21,NA,NA,NA,"{""shipping-logistics_liquor_185_240_0.4"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:37
