view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,thesis_project,experiment,sample,similarity,distribution,awareness,presentation,project_variation,current_project_choice_order,PROLIFIC_PID,STUDY_ID,SESSION_ID,responses,current_response,question_order,stimulus,button_pressed,dateCreated
"[{""page_index"":0,""viewing_time"":47.54552099998932}]",47.91779100000326,welcome,instructions,0,49,0.0-0.0-0.0,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:48
NA,341.64637099999595,id,survey-html-form,1,393,0.0-0.0-1.0-0.0,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""prolific"":""test12341193364982569481""}",NA,NA,NA,NA,02/09/2020 09:48:48
NA,390.3986850000081,contact,survey-html-form,2,784,0.0-0.0-1.0-1.0,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""contact"":""yes"",""address"":""test12343296966862676317""}",NA,NA,NA,NA,02/09/2020 09:48:48
NA,1178.1095970000024,demographics,survey-html-form,3,1964,0.0-0.0-1.0-2.0,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""sex"":""female"",""age"":""46"",""language"":""Korean"",""language_other"":"""",""business_edu"":""16"",""business_exp"":""34"",""current"":""no""}",no,NA,NA,NA,02/09/2020 09:48:48
"[{""page_index"":0,""viewing_time"":65.82578900000158},{""page_index"":1,""viewing_time"":97.26315500000737},{""page_index"":2,""viewing_time"":80.51049299999113}]",243.87053500001343,instructions,instructions,4,2209,0.0-0.0-2.0-1.0-0.0,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2020 09:48:48
NA,250.04287000001568,project_choice,survey-multi-choice,5,2464,0.0-0.0-2.0-16.0-0.0-0.0-0.0,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""oil-well_onshore-Daqing-China_125_240_0.55"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:48
NA,309.8441780000203,project_choice,survey-multi-choice,6,2776,0.0-0.0-2.0-16.0-0.0-0.0-0.1,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""microchip_microwave_125_240_0.6"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:48
NA,247.04081600000927,project_choice,survey-multi-choice,7,3025,0.0-0.0-2.0-16.0-0.0-0.0-0.2,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""record-deal_R&B_190_240_0.35"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:48
NA,378.57634299999154,project_choice,survey-multi-choice,8,3407,0.0-0.0-2.0-16.0-0.0-0.0-0.3,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""shipping-logistics_kitchenware_185_240_0.4"":""Yes""}",NA,[0],NA,NA,02/09/2020 09:48:48
NA,807.9158209999946,project_choice,survey-multi-choice,9,4229,0.0-0.0-2.0-16.0-0.0-0.0-0.4,98qc320126f2pxu,aggregation,experiment4,prolific,low,absent,aware,separate,5,21,NA,NA,NA,"{""restaurant-chain_mexican_155_240_0.45"":""No""}",NA,[0],NA,NA,02/09/2020 09:48:48
