file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-14-11-34-30_7uz685on0b,"[{""page_index"":0,""viewing_time"":1238.5850000009668},{""page_index"":1,""viewing_time"":550.2849999993487},{""page_index"":2,""viewing_time"":518.2499999991705},{""page_index"":3,""viewing_time"":427.48000000028696}]",2734.8799999999756,instructions,0,2782,0.0-0.0-0.0,aggregation_exp2,prolific,present,naive,separate,NA,NA,NA,NA
data_2020-07-14-11-34-30_7uz685on0b,NA,640.0599999997212,html-button-response,1,3423,0.0-0.0-2.0-0.0,aggregation_exp2,prolific,present,naive,separate,You will now see the projects.,0,NA,NA
data_2020-07-14-11-34-30_7uz685on0b,NA,2067.8100000004633,survey-multi-choice,2,5492,0.0-0.0-5.0-0.0-0.0-0.0,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""microchip_170_240_0.45"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,3977.6999999994587,survey-multi-choice,3,9474,0.0-0.0-5.0-0.0-0.0-0.1,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""national-newspaper_180_240_0.35"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,1345.3850000005332,survey-multi-choice,4,10824,0.0-0.0-5.0-0.0-0.0-0.2,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""pharmaceutical_150_240_0.55"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,1256.6299999998591,survey-multi-choice,5,12085,0.0-0.0-5.0-0.0-0.0-0.3,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""railway_140_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,1368.5700000005454,survey-multi-choice,6,13457,0.0-0.0-5.0-0.0-0.0-0.4,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""GMO_130_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,6284.830000000511,survey-multi-choice,7,19746,0.0-0.0-5.0-0.0-0.0-0.5,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""record-deal_200_240_0.3"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,4259.240000001228,survey-multi-choice,8,24010,0.0-0.0-5.0-0.0-0.0-0.6,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""shipping-logistics_120_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,1784.5849999994243,survey-multi-choice,9,25799,0.0-0.0-5.0-0.0-0.0-0.7,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""high-rise-construction_100_240_0.75"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,1436.3499999999476,survey-multi-choice,10,27239,0.0-0.0-5.0-0.0-0.0-0.8,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""restaurant-chain_110_240_0.7"":""Yes""}",[0]
data_2020-07-14-11-34-30_7uz685on0b,NA,1581.9849999988946,survey-multi-choice,11,28825,0.0-0.0-5.0-0.0-0.0-0.9,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""oil-well_140_240_0.55"":""Yes""}",[0]
