file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-14-11-35-45_12ojb1ndab,"[{""page_index"":0,""viewing_time"":1053.6299999985204},{""page_index"":1,""viewing_time"":675.4200000013952},{""page_index"":2,""viewing_time"":506.84499999988475},{""page_index"":3,""viewing_time"":629.9199999994016}]",2866.1249999986467,instructions,0,2904,0.0-0.0-0.0,aggregation_exp2,prolific,present,naive,separate,NA,NA,NA,NA
data_2020-07-14-11-35-45_12ojb1ndab,NA,628.2400000000052,html-button-response,1,3533,0.0-0.0-2.0-0.0,aggregation_exp2,prolific,present,naive,separate,You will now see the projects.,0,NA,NA
data_2020-07-14-11-35-45_12ojb1ndab,NA,1034.2749999999796,survey-multi-choice,2,4569,0.0-0.0-5.0-0.0-0.0-0.0,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""pharmaceutical_150_240_0.55"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,850.270000000819,survey-multi-choice,3,5424,0.0-0.0-5.0-0.0-0.0-0.1,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""national-newspaper_180_240_0.35"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,963.2199999996374,survey-multi-choice,4,6391,0.0-0.0-5.0-0.0-0.0-0.2,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""railway_140_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,974.7650000008434,survey-multi-choice,5,7370,0.0-0.0-5.0-0.0-0.0-0.3,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""GMO_130_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,1120.4600000000937,survey-multi-choice,6,8495,0.0-0.0-5.0-0.0-0.0-0.4,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""restaurant-chain_110_240_0.7"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,996.8449999996665,survey-multi-choice,7,9496,0.0-0.0-5.0-0.0-0.0-0.5,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""oil-well_140_240_0.55"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,952.3249999983818,survey-multi-choice,8,10452,0.0-0.0-5.0-0.0-0.0-0.6,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""microchip_170_240_0.45"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,974.1099999992002,survey-multi-choice,9,11431,0.0-0.0-5.0-0.0-0.0-0.7,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""record-deal_200_240_0.3"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,906.6699999984849,survey-multi-choice,10,12343,0.0-0.0-5.0-0.0-0.0-0.8,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""high-rise-construction_100_240_0.75"":""Yes""}",[0]
data_2020-07-14-11-35-45_12ojb1ndab,NA,940.3050000000803,survey-multi-choice,11,13288,0.0-0.0-5.0-0.0-0.0-0.9,aggregation_exp2,prolific,present,naive,separate,NA,NA,"{""shipping-logistics_120_240_0.6"":""Yes""}",[0]
