file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-14-11-36-32_amj03y7i6r,"[{""page_index"":0,""viewing_time"":851.1550000002899},{""page_index"":1,""viewing_time"":649.1749999986496},{""page_index"":2,""viewing_time"":596.2600000002567},{""page_index"":3,""viewing_time"":528.8950000012846}]",2625.799999999799,instructions,0,2675,0.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,NA,NA
data_2020-07-14-11-36-32_amj03y7i6r,NA,1619.829999999638,html-button-response,1,4296,0.0-0.0-2.0-0.0,aggregation_exp2,prolific,absent,naive,separate,You will now see the projects.,0,NA,NA
data_2020-07-14-11-36-32_amj03y7i6r,NA,1393.0550000004587,survey-multi-choice,2,5690,0.0-0.0-6.0-0.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""record-deal_200_240_0.3"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,974.0899999997055,survey-multi-choice,3,6668,0.0-0.0-6.0-0.0-0.0-0.1,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_140_240_0.55"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,1019.9250000005122,survey-multi-choice,4,7692,0.0-0.0-6.0-0.0-0.0-0.2,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""GMO_130_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,2528.5149999999703,survey-multi-choice,5,10225,0.0-0.0-6.0-0.0-0.0-0.3,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""shipping-logistics_120_240_0.6"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,1920.0799999998708,survey-multi-choice,6,12149,0.0-0.0-6.0-0.0-0.0-0.4,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""national-newspaper_180_240_0.35"":""No""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,1424.9849999996513,survey-multi-choice,7,13577,0.0-0.0-6.0-0.0-0.0-0.5,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""railway_140_240_0.6"":""No""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,1131.4450000008947,survey-multi-choice,8,14713,0.0-0.0-6.0-0.0-0.0-0.6,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""pharmaceutical_150_240_0.55"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,1041.5850000008504,survey-multi-choice,9,15758,0.0-0.0-6.0-0.0-0.0-0.7,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""microchip_170_240_0.45"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,975.4100000009203,survey-multi-choice,10,16738,0.0-0.0-6.0-0.0-0.0-0.8,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""restaurant-chain_110_240_0.7"":""Yes""}",[0]
data_2020-07-14-11-36-32_amj03y7i6r,NA,918.7200000014855,survey-multi-choice,11,17660,0.0-0.0-6.0-0.0-0.0-0.9,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""high-rise-construction_100_240_0.75"":""Yes""}",[0]
