file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-17-11-54-41_loidpqpa0h,"[{""page_index"":0,""viewing_time"":1606.0549999820068},{""page_index"":1,""viewing_time"":831.6849999828264},{""page_index"":2,""viewing_time"":752.2200000239536}]",3190.3000000165775,instructions,0,3234,0.0-0.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,NA,NA
data_2020-07-17-11-54-41_loidpqpa0h,NA,551.3200000859797,html-button-response,1,3787,0.0-0.0-0.0-2.0-0.0,aggregation_exp2,prolific,absent,naive,separate,You will now see the projects.,0,NA,NA
data_2020-07-17-11-54-41_loidpqpa0h,NA,1165.000000037253,survey-multi-choice,2,4955,0.0-0.0-0.0-6.0-0.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""pharmaceutical_150_240_0.55"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,977.3050000658259,survey-multi-choice,3,5939,0.0-0.0-0.0-6.0-0.0-0.0-0.1,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""restaurant-chain_110_240_0.7"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,889.945000060834,survey-multi-choice,4,6836,0.0-0.0-0.0-6.0-0.0-0.0-0.2,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_140_240_0.55"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,928.2299999613315,survey-multi-choice,5,7771,0.0-0.0-0.0-6.0-0.0-0.0-0.3,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""microchip_170_240_0.45"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,954.399999929592,survey-multi-choice,6,8731,0.0-0.0-0.0-6.0-0.0-0.0-0.4,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""GMO_130_240_0.6"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,945.7049999618903,survey-multi-choice,7,9684,0.0-0.0-0.0-6.0-0.0-0.0-0.5,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""railway_140_240_0.6"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,961.5099999355152,survey-multi-choice,8,10652,0.0-0.0-0.0-6.0-0.0-0.0-0.6,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""shipping-logistics_120_240_0.6"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,1369.550000061281,survey-multi-choice,9,12027,0.0-0.0-0.0-6.0-0.0-0.0-0.7,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""high-rise-construction_100_240_0.75"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,1184.8100000061095,survey-multi-choice,10,13218,0.0-0.0-0.0-6.0-0.0-0.0-0.8,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""record-deal_200_240_0.3"":""Yes""}",[0]
data_2020-07-17-11-54-41_loidpqpa0h,NA,1131.1999999452382,survey-multi-choice,11,14356,0.0-0.0-0.0-6.0-0.0-0.0-0.9,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""national-newspaper_180_240_0.35"":""Yes""}",[0]
