file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-17-15-11-40_sjskfj5x18,"[{""page_index"":0,""viewing_time"":1280.3099999437109},{""page_index"":1,""viewing_time"":495.0500000268221},{""page_index"":2,""viewing_time"":712.0949999662116}]",2487.8249999601394,instructions,0,2640,0.0-0.0-0.0-0.0,aggregation_exp2,prolific,absent,aware,separate,NA,NA,NA,NA
data_2020-07-17-15-11-40_sjskfj5x18,NA,486.0749999061227,html-button-response,1,3128,0.0-0.0-0.0-1.0-0.0,aggregation_exp2,prolific,absent,aware,separate,You will now see the 10 projects.,0,NA,NA
data_2020-07-17-15-11-40_sjskfj5x18,NA,1653.5350000485778,survey-multi-choice,2,4784,0.0-0.0-0.0-6.0-0.0-0.0-0.0,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""restaurant-chain_110_240_0.7"":""No""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,835.0349999964237,survey-multi-choice,3,5627,0.0-0.0-0.0-6.0-0.0-0.0-0.1,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""oil-well_140_240_0.55"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,998.1499999994412,survey-multi-choice,4,6632,0.0-0.0-0.0-6.0-0.0-0.0-0.2,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""GMO_130_240_0.6"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,1127.849999931641,survey-multi-choice,5,7768,0.0-0.0-0.0-6.0-0.0-0.0-0.3,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""shipping-logistics_120_240_0.6"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,1017.409999971278,survey-multi-choice,6,8793,0.0-0.0-0.0-6.0-0.0-0.0-0.4,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""record-deal_200_240_0.3"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,1257.7049999963492,survey-multi-choice,7,10057,0.0-0.0-0.0-6.0-0.0-0.0-0.5,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""pharmaceutical_150_240_0.55"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,1033.8800000026822,survey-multi-choice,8,11096,0.0-0.0-0.0-6.0-0.0-0.0-0.6,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""railway_140_240_0.6"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,985.9600000781938,survey-multi-choice,9,12089,0.0-0.0-0.0-6.0-0.0-0.0-0.7,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""national-newspaper_180_240_0.35"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,1098.0049999197945,survey-multi-choice,10,13193,0.0-0.0-0.0-6.0-0.0-0.0-0.8,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""high-rise-construction_100_240_0.75"":""Yes""}",[0]
data_2020-07-17-15-11-40_sjskfj5x18,NA,954.2499999515712,survey-multi-choice,11,14153,0.0-0.0-0.0-6.0-0.0-0.0-0.9,aggregation_exp2,prolific,absent,aware,separate,NA,NA,"{""microchip_170_240_0.45"":""Yes""}",[0]
