"view_history","rt","stage","trial_type","trial_index","time_elapsed","internal_node_id","subject","thesis_project","experiment","sample","project_variation","anecdote_variation","anecdote_between","current_project_display_order","PROLIFIC_PID","STUDY_ID","SESSION_ID","url","responses","current_response","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":4142.9749999661}]","4143.700000131503","welcome","instructions","0","4145","0.0-0.0-0.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","","","",""
"[{""page_index"":0,""viewing_time"":8339.804999995977},{""page_index"":1,""viewing_time"":20971.78000002168},{""page_index"":2,""viewing_time"":19659.035000018775}]","48971.00999997929","pis","instructions","1","53117","0.0-0.0-1.0-0.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","","","",""
"","9188.044999958947","consent","external-html","2","63087","0.0-0.0-1.0-1.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","resource/other/consent.html","","","",""
"","1843.9449998550117","id","survey-html-form","3","64965","0.0-0.0-1.0-2.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""prolific"":""5f81b72544cc142755fcedcb""}","","",""
"","4305.849999887869","contact","survey-html-form","4","69294","0.0-0.0-1.0-3.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""contact"":""no"",""address"":""""}","","",""
"","17610.005000140518","demographics","survey-html-form","5","86947","0.0-0.0-1.0-4.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""sex"":""female"",""age"":""33"",""language"":""No"",""language_other"":"""",""business_edu"":""0"",""business_exp"":""0"",""current"":""no""}","no","",""
"","16501.849999884143","instructions","survey-html-form","6","103475","0.0-0.0-2.0-0.0-0.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""instructions_test"":""5""}","","",""
"","12961.864999961108","interstitial","survey-html-form","7","116441","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.0-0.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""interstitial_4"":""on""}","","",""
"","NaN","project_allocation","survey-html-form3","8","229632","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.0-1.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""anecdote_low_positive_Pressbloom_national-newspaper_102_90_Newspapers-printed_70000_Number-of-weekly-advertisers_112_Ink-that-is-not-discarded-due-to-impurities_7000_Payment-model_advertising_target"":""60"",""anecdote_low_positive_Pharmacore_pharmaceutical_904_95_Pills-pressed_420000_Shelf-life_28_Probability-of-symptom-reduction-after-a-week_99_Drug-type_over-the-counter_comparison"":""40""}","","",""
"","80415.55000003427","follow_up","survey-html-form","9","310059","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.0-2.0","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""follow-up_anecdote_positive_low_rating_similarity-rating"":""6"",""follow-up_anecdote_positive_low_rating_relevance-specific-rating"":""7"",""follow-up_anecdote_positive_low_rating_relevance-general-rating"":""5"",""follow-up_anecdote_positive_low_text_justify"":""Pressbloom seemed similar to Grown Media but it might not be entirely representative of the market as a whole.""}","","",""
"","6773.300000000745","interstitial","survey-html-form","10","316835","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.1-0.1","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""interstitial_1"":""on""}","","",""
"","NaN","project_allocation","survey-html-form3","11","406266","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.1-1.1","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""anecdote_high_negative_Refinera_oil-well_100_90_Oil-extracted_1600_Time-the-machinery-lasts-before-requiring-maintenance_6_Probability-of-finding-oil_76_Type-of-well_offshore_comparison"":""70"",""anecdote_high_negative_Cweb_software_901_91_Code-written_800_Security-rating_68_Number-of-potential-customers-in-first-year_2_Target-users_enterprise_target"":""30""}","","",""
"","81365.75000011362","follow_up","survey-html-form","12","487634","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.1-2.1","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""follow-up_anecdote_negative_high_rating_similarity-rating"":""6"",""follow-up_anecdote_negative_high_rating_relevance-specific-rating"":""6"",""follow-up_anecdote_negative_high_rating_relevance-general-rating"":""5"",""follow-up_anecdote_negative_high_text_justify"":""They seem to be similar in structure so I think the data can be used reliably.""}","","",""
"","5043.059999821708","interstitial","survey-html-form","13","492680","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.2-0.2","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""interstitial_2"":""on""}","","",""
"","NaN","project_allocation","survey-html-form3","14","577375","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.2-1.2","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""anecdote_high_positive_Railmont_railway_102_87_Railway-lines-built_6_Number-of-seats-filled-by-paying-customers-at-peak-hour_2400_Time-before-the-train-carriages-will-need-to-be-serviced_14_Operation-type_intracity_target"":""80"",""anecdote_high_positive_Erectic_high-rise-construction_900_95_High-rises-built_10_Probability-that-the-builders-complete-construction-within-a-month-of-the-due-date_74_Number-of-tenant-expressions-of-interest_120_Primary-use_mixed-office-retail_comparison"":""20""}","","",""
"","63677.93499981053","follow_up","survey-html-form","15","641056","0.0-0.0-2.0-12.0-0.0-0.0-0.0-0.2-2.2","rxzh78dt3pa596w","anecdotes","experiment2","prolific","3","2","combined","6","5f81b72544cc142755fcedcb","604016aa51301a1e54c91c67","60449ecfc5d9b65244646fc3","","{""follow-up_anecdote_positive_high_rating_similarity-rating"":""7"",""follow-up_anecdote_positive_high_rating_relevance-specific-rating"":""7"",""follow-up_anecdote_positive_high_rating_relevance-general-rating"":""6"",""follow-up_anecdote_positive_high_text_justify"":""The two projects are very similar, so I think that most projects in railway would work if they were like this.""}","","",""
