"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","5","0.0-0.0","hp3sut37h1x6osh","highA","statistics","","","","","",""
"instructions","1","4346","0.0-1.0","hp3sut37h1x6osh","highA","statistics","[{""page_index"":0,""viewing_time"":1270.1450000022305},{""page_index"":1,""viewing_time"":1757.2349999973085},{""page_index"":2,""viewing_time"":671.1450000002515},{""page_index"":3,""viewing_time"":640.8099999971455}]","4339.860000000044","","","",""
"external-html","2","6754","0.0-2.0","hp3sut37h1x6osh","highA","statistics","","2122.154999997292","js/consent.html","","",""
"survey-html-form","3","8393","0.0-3.0","hp3sut37h1x6osh","highA","statistics","","1637.8100000001723","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","10938","0.0-4.0","hp3sut37h1x6osh","highA","statistics","","2543.1100000059814","","{""sona"":""test""}","",""
"survey-html-form","5","13947","0.0-5.0","hp3sut37h1x6osh","highA","statistics","","3006.9099999964237","","{""sex"":""male"",""age"":""11"",""other"":"""",""business_exp"":""1"",""business_edu"":""1""}","",""
"instructions","6","47291","0.0-6.0","hp3sut37h1x6osh","highA","statistics","[{""page_index"":0,""viewing_time"":3305.935000003956},{""page_index"":1,""viewing_time"":1495.6999999994878},{""page_index"":2,""viewing_time"":28540.359999999055}]","33342.56499999901","","","",""
"survey-html-form3","7","77303","0.0-7.0","hp3sut37h1x6osh","highA","statistics","","NaN","","{""allocation_q_projectA"":""90"",""allocation_q_projectB"":""10""}","",""
"instructions","8","80344","0.0-8.0","hp3sut37h1x6osh","highA","statistics","[{""page_index"":0,""viewing_time"":2022.0249999983935},{""page_index"":1,""viewing_time"":1017.7699999985634}]","3040.3349999978673","","","",""
"html-button-response","9","82307","0.0-9.0","hp3sut37h1x6osh","highA","statistics","","1960.864999993646","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
