"trial_type","trial_index","time_elapsed","internal_node_id","subject","align_condition","anecdote_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","156","0.0-0.0","c25gz75h2zroafr","highA","anecdote","","","","","",""
"instructions","1","24386","0.0-1.0","c25gz75h2zroafr","highA","anecdote","[{""page_index"":0,""viewing_time"":21421.909999997297},{""page_index"":1,""viewing_time"":1221.414999999979},{""page_index"":2,""viewing_time"":632.0649999979651},{""page_index"":3,""viewing_time"":951.984999999695}]","24228.409999996074","","","",""
"external-html","2","26730","0.0-2.0","c25gz75h2zroafr","highA","anecdote","","2333.395000001474","js/consent.html","","",""
"survey-html-form","3","28186","0.0-3.0","c25gz75h2zroafr","highA","anecdote","","1454.570000001695","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","30329","0.0-4.0","c25gz75h2zroafr","highA","anecdote","","2141.5800000031595","","{""sona"":""test""}","",""
"survey-html-form","5","33538","0.0-5.0","c25gz75h2zroafr","highA","anecdote","","3207.3699999964447","","{""sex"":""male"",""age"":""11"",""other"":"""",""business_exp"":""1"",""business_edu"":""1""}","",""
"instructions","6","94238","0.0-6.0","c25gz75h2zroafr","highA","anecdote","[{""page_index"":0,""viewing_time"":27417.2849999959},{""page_index"":1,""viewing_time"":3203.540000002249},{""page_index"":2,""viewing_time"":30076.045000001614}]","60697.25999999355","","","",""
"survey-html-form3","7","264984","0.0-7.0","c25gz75h2zroafr","highA","anecdote","","NaN","","{""allocation_q_projectA"":""100"",""allocation_q_projectB"":""0""}","",""
"survey-html-form","8","283299","0.0-8.0","c25gz75h2zroafr","highA","anecdote","","18313.249999999243","","{""follow_up_q_similarity_rating"":""1"",""follow_up_q_similarity_justify"":""test1"",""follow_up_q_relevance_specific_rating"":""2"",""follow_up_q_relevance_specific_justify"":""test2"",""follow_up_q_relevance_general_rating"":""3"",""follow_up_q_relevance_general_justify"":""test3""}","",""
"instructions","9","285886","0.0-9.0","c25gz75h2zroafr","highA","anecdote","[{""page_index"":0,""viewing_time"":1618.2200000039302},{""page_index"":1,""viewing_time"":967.8549999953248}]","2586.43000000302","","","",""
"html-button-response","10","286792","0.0-10.0","c25gz75h2zroafr","highA","anecdote","","902.685000000929","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
