"trial_type","trial_index","time_elapsed","internal_node_id","subject","order_condition","view_history","rt","url","responses","stimulus","button_pressed"
"pavlovia","0","11","0.0-0.0","fhxyckhuevy40q8","1","","","","","",""
"instructions","1","70001","0.0-1.0","fhxyckhuevy40q8","1","[{""page_index"":0,""viewing_time"":11585.34000000509},{""page_index"":1,""viewing_time"":26121.80499999522},{""page_index"":2,""viewing_time"":22583.024999999907},{""page_index"":3,""viewing_time"":9699.000000000524}]","69989.66500000097","","","",""
"external-html","2","95578","0.0-2.0","fhxyckhuevy40q8","1","","25524.805000000924","js/consent.html","","",""
"survey-html-form","3","105042","0.0-3.0","fhxyckhuevy40q8","1","","9462.41000000009","","{""contact"":""no"",""address"":""""}","",""
"survey-html-form","4","113337","0.0-4.0","fhxyckhuevy40q8","1","","8294.304999995802","","{""prolific"":""5d29412ab711e9001ab74ece""}","",""
"survey-html-form","5","134455","0.0-5.0","fhxyckhuevy40q8","1","","21118.30999999802","","{""sex"":""male"",""age"":""36"",""other"":""Polish"",""business_exp"":""0"",""business_edu"":""0""}","",""
"instructions","6","210523","0.0-6.0","fhxyckhuevy40q8","1","[{""page_index"":0,""viewing_time"":2432.1749999944586},{""page_index"":1,""viewing_time"":39574.93500000419},{""page_index"":2,""viewing_time"":30195.934999996098},{""page_index"":3,""viewing_time"":3864.0550000054645}]","76067.35499999922","","","",""
"survey-html-form2","7","689691","0.0-7.0-0.0","fhxyckhuevy40q8","1","","479168.4699999969","","{""microchip_cond_ranking_lowA_impR_lowR_highN_952"":""4"",""microchip_cond_allocation_lowA_impR_lowR_highN_952"":""100"",""microchip_cond_ranking_lowA_impR_lowR_lowN_194"":""1"",""microchip_cond_allocation_lowA_impR_lowR_lowN_194"":""80"",""shipping-logistics_cond_ranking_lowA_impR_highR_lowN_128"":""2"",""shipping-logistics_cond_allocation_lowA_impR_highR_lowN_128"":""60"",""shipping-logistics_cond_ranking_lowA_impR_highR_highN_974"":""6"",""shipping-logistics_cond_allocation_lowA_impR_highR_highN_974"":""60"",""oil-well_cond_ranking_lowA_impR_highR_lowN_192"":""7"",""oil-well_cond_allocation_lowA_impR_highR_lowN_192"":""0"",""oil-well_cond_ranking_lowA_impR_highR_highN_964"":""8"",""oil-well_cond_allocation_lowA_impR_highR_highN_964"":""0"",""restaurant-chain_cond_ranking_lowA_impR_lowR_highN_913"":""5"",""restaurant-chain_cond_allocation_lowA_impR_lowR_highN_913"":""60"",""restaurant-chain_cond_ranking_lowA_impR_lowR_lowN_183"":""3"",""restaurant-chain_cond_allocation_lowA_impR_lowR_lowN_183"":""40""}","",""
"survey-html-form2","8","1006344","0.0-7.0-0.1","fhxyckhuevy40q8","1","","316652.81999999576","","{""railway_cond_ranking_lowA_expR_highR_highN_974"":""1"",""railway_cond_allocation_lowA_expR_highR_highN_974"":""150"",""railway_cond_ranking_lowA_expR_highR_lowN_128"":""3"",""railway_cond_allocation_lowA_expR_highR_lowN_128"":""50"",""pharmaceutical_cond_ranking_lowA_expR_lowR_lowN_194"":""5"",""pharmaceutical_cond_allocation_lowA_expR_lowR_lowN_194"":""75"",""pharmaceutical_cond_ranking_lowA_expR_lowR_highN_952"":""8"",""pharmaceutical_cond_allocation_lowA_expR_lowR_highN_952"":""0"",""national-newspaper_cond_ranking_lowA_expR_highR_highN_964"":""2"",""national-newspaper_cond_allocation_lowA_expR_highR_highN_964"":""50"",""national-newspaper_cond_ranking_lowA_expR_highR_lowN_192"":""4"",""national-newspaper_cond_allocation_lowA_expR_highR_lowN_192"":""50"",""high-rise-construction_cond_ranking_lowA_expR_lowR_highN_913"":""7"",""high-rise-construction_cond_allocation_lowA_expR_lowR_highN_913"":""0"",""high-rise-construction_cond_ranking_lowA_expR_lowR_lowN_183"":""6"",""high-rise-construction_cond_allocation_lowA_expR_lowR_lowN_183"":""25""}","",""
"survey-html-form2","9","1140763","0.0-7.0-0.2","fhxyckhuevy40q8","1","","134417.59500000614","","{""oil-well_cond_ranking_highA_impR_highR_lowN_192"":""1"",""oil-well_cond_allocation_highA_impR_highR_lowN_192"":""75"",""oil-well_cond_ranking_highA_impR_highR_highN_964"":""2"",""oil-well_cond_allocation_highA_impR_highR_highN_964"":""25"",""restaurant-chain_cond_ranking_highA_impR_lowR_highN_913"":""2"",""restaurant-chain_cond_allocation_highA_impR_lowR_highN_913"":""40"",""restaurant-chain_cond_ranking_highA_impR_lowR_lowN_183"":""1"",""restaurant-chain_cond_allocation_highA_impR_lowR_lowN_183"":""60"",""shipping-logistics_cond_ranking_highA_impR_highR_lowN_128"":""1"",""shipping-logistics_cond_allocation_highA_impR_highR_lowN_128"":""60"",""shipping-logistics_cond_ranking_highA_impR_highR_highN_974"":""2"",""shipping-logistics_cond_allocation_highA_impR_highR_highN_974"":""40"",""microchip_cond_ranking_highA_impR_lowR_highN_952"":""2"",""microchip_cond_allocation_highA_impR_lowR_highN_952"":""30"",""microchip_cond_ranking_highA_impR_lowR_lowN_194"":""1"",""microchip_cond_allocation_highA_impR_lowR_lowN_194"":""70""}","",""
"survey-html-form2","10","1225705","0.0-7.0-0.3","fhxyckhuevy40q8","1","","84940.30499999644","","{""national-newspaper_cond_ranking_highA_expR_highR_highN_964"":""1"",""national-newspaper_cond_allocation_highA_expR_highR_highN_964"":""75"",""national-newspaper_cond_ranking_highA_expR_highR_lowN_192"":""2"",""national-newspaper_cond_allocation_highA_expR_highR_lowN_192"":""25"",""railway_cond_ranking_highA_expR_highR_highN_974"":""1"",""railway_cond_allocation_highA_expR_highR_highN_974"":""75"",""railway_cond_ranking_highA_expR_highR_lowN_128"":""2"",""railway_cond_allocation_highA_expR_highR_lowN_128"":""25"",""high-rise-construction_cond_ranking_highA_expR_lowR_highN_913"":""2"",""high-rise-construction_cond_allocation_highA_expR_lowR_highN_913"":""25"",""high-rise-construction_cond_ranking_highA_expR_lowR_lowN_183"":""1"",""high-rise-construction_cond_allocation_highA_expR_lowR_lowN_183"":""75"",""pharmaceutical_cond_ranking_highA_expR_lowR_lowN_194"":""1"",""pharmaceutical_cond_allocation_highA_expR_lowR_lowN_194"":""75"",""pharmaceutical_cond_ranking_highA_expR_lowR_highN_952"":""2"",""pharmaceutical_cond_allocation_highA_expR_lowR_highN_952"":""25""}","",""
"instructions","11","1264466","0.0-8.0","fhxyckhuevy40q8","1","[{""page_index"":0,""viewing_time"":36599.099999999395},{""page_index"":1,""viewing_time"":2161.8049999962095}]","38761.37000000011","","","",""
"html-button-response","12","1268227","0.0-9.0","fhxyckhuevy40q8","1","","3760.0450000027195","","","<p>Press below to complete the experiment. <br >Thank you!</p>","0"
